row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용두2리경로당,36.7533137,127.3254247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용두3리경로당,36.750089,127.314304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정1리경로당,36.742687,127.316867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정2리경로당,36.738238,127.326748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단평2리 경로당,37.142345,127.6431165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대원경로당,35.2325562,128.6502036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불당경로당,36.063899,127.8263557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월계역신도브래뉴경로당,37.6295955,127.0587623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월계문화복지센터,37.6242783,127.0507532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹천역두산위브아파트경로당,37.6401905,127.0528293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌 경로당,34.873267,126.303917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충북인삼농협 본점,36.795879,127.5828981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한은행 증평지점,36.7845139,127.5823134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
증평신협,36.7844345,127.5819701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH농협은행 증평군지부,36.7860026,127.5840005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시장2리경로당,36.898987,127.220361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성산아파트경로당,35.3597,126.4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장수촌경로당,35.3345,126.4855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석장리경로당,35.3614,126.4623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
범양아파트 경로당,37.495834,126.688493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관성3리경로당,36.817349,127.340683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉항1리경로당,36.829347,127.315749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉항2리경로당,36.8370045,127.316172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉항3리경로당,36.846216,127.320342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
