위치명,위도,경도
인수초등학교 운동장,37.45409736,126.7354826
조동초등학교 운동장,37.46071382,126.7397543
남동중학교 운동장,37.44026749,126.7382071
남동초등학교 운동장,37.44479884,126.7370613
담방초등학교 운동장,37.44049036,126.7363215
만수초등학교 운동장,37.44730217,126.7347833
물빛근린공원,37.42150292,126.7472921
오봉근린공원,37.41845774,126.7315051
나루소공원,37.3983725,126.7343685
논현중앙근린공원,37.40297492,126.7249193
한아름근린공원,37.39575342,126.7284963
서창근린공원,37.43634935,126.7462252
어울근린공원,37.42750474,126.746106
만월중학교 운동장,37.42646886,126.7521832
서창중학교 운동장,37.43371883,126.7498091
서창초등학교 운동장,37.43592507,126.7500729
남촌초등학교 운동장,37.42976487,126.7131794
도림초등학교 운동장,37.4190289,126.7320001
논현초등학교 운동장,37.40511379,126.7305947
구월초등학교 운동장,37.45173676,126.7168387
만월초등학교 운동장,37.44180806,126.7155201
성리초등학교  운동장,37.44573742,126.7099814
구월근린공원,37.45737479,126.7188971
간석초등학교 운동장,37.45925865,126.7154449
석천초등학교 운동장,37.45598076,126.70878154
정각초등학교 운동장,37.45603982,126.7152673
인천시청 운동장,37.45625536,126.704701
구월서초등학교 운동장,37.45302682,126.6950348
구월여자중학교 운동장,37.448545,126.7027378
동인천중학교 운동장,37.45482806,126.6975366
신월초등학교 운동장,37.44792834,126.7233715
상인천초등학교 운동장,37.46230248,126.7074171
인천예술고등학교 운동장,37.45853834,126.7039099
상아초등학교 운동장,37.45747716,126.7120157
인제고등학교 운동장,37.46139584,126.7124664
간석여자중학교 운동장,37.46833019,126.7102873
약산초등학교 운동장,37.46774069,126.710231
석정초등학교 운동장,37.46701953,126.6957512
주원초등학교 운동장,37.46515735,126.7004158
만수북초등학교 운동장,37.46012658,126.728969
동부초등학교 운동장,37.46304622,126.7275062
인동초등학교 운동장,37.46253731,126.7225988
물야초등학교,36.979606,128.7369196
봉화약초시험장,36.90070673,128.809036
춘양초등학교,36.939564,128.9149558
소천초등학교 두음분교,36.886204,129.0560689
뚜르리 힐링하우스,36.799104,128.9941112
한누리 전원생활센터,36.86067758,128.7683815
석포행복나눔센터,37.047079,129.0653112
청량중학교,36.86005329,128.8992061
내성천 야외공연장 및 체육공원,36.889123,128.738016
봉화군청 잔디광장,36.89313176,128.7326154
내성초등학교,36.8858133,128.7355008
봉화중고등학교,36.89603717,128.739931
물야중학교,36.97798823,128.738331
물야초등학교,36.97960945,128.7369196
봉성초등학교,36.88546967,128.814999
법전중앙초등학교,36.91466264,128.877626
춘양초등학교 눌산분교(폐교),36.89346918,128.9533644
춘양초등학교,36.9395315,128.9149558
춘양 체육공원,36.936651,128.919472
백두대간 수목원 주차장,37.00813026,128.8299628
소천초등학교,36.93799794,129.0022365
재산초등학교,36.81704144,128.9635131
명덕초등학교 운동장,35.857539015,128.58902702
남산초등학교 운동장,35.86324744,128.58275982
제일중학교 운동장,35.86435194,128.5891339
경북공업고등학교 운동장,35.857692475,128.58341108
대구가톨릭대학교 유스티노캠퍼스 운동장,35.86133303,128.58751308
경북대학교사범대학부설고등학교 운동장,35.862539668,128.60061793
성내2동 주민센터,35.86838367,128.59038606
대신동 주민센터,35.86557684,128.5763426
남산3동 주민센터,35.85991692,128.5855579
남산4동 주민센터,35.85822865,128.5805741
대봉1동 주민센터,35.861544908,128.6043818
서문로119안전센터,35.87157637,128.5899848
삼덕초등학교 강당,35.86356446,128.60784309
남산초등학교 강당,35.86324744,128.58275982
명덕초등학교 강당,35.857539015,128.58902702
수창초등학교 강당,35.87424935,128.58344401
대구광역시청 주차장,35.8706474,128.6018016
대구백화점프라자 야외주차장,35.857488478,128.60597261
덕영주차장,35.864388764,128.5741954
대한적십자사 대구경북혈액원 주차장,35.875129334,128.59202233
봉화노인복지센터,36.89443963,128.726671
내성초등학교,36.8858133,128.7355008
봉화중고등학교,36.89603717,128.7399682
석우초등학교,,
신천둔치,35.87351377,128.6116492
2.28기념중앙공원,35.869214204,128.59718279
국채보상기념공원,35.86843555,128.6017104
경상감영공원,35.872675482,128.59168536
남산어린이공원,35.85822865,128.5805741
동인초등학교 운동장,35.868083664,128.60950665
동덕초등학교 운동장,35.86473435,128.6046499
삼덕초등학교 운동장,35.86356446,128.60784309
경북대학교 부설초등학교 운동장,35.863582926,128.59806612
대구초등학교 운동장,35.864036903,128.59536958
수창초등학교 운동장,35.87424935,128.58344401
신명고등학교 운동장,35.869655322,128.58374211
종로초등학교 운동장,35.87249623,128.58970657
계성중학교 운동장,35.867935084,128.58024923
계성초등학교 운동장,35.866075618,128.58158067
경북여자고등학교 운동장,35.858426957,128.59220186
형석중학교 운동장,36.793256828,127.59384752
형석고등학교 운동장,36.793256828,127.59384752
도안초등학교 운동장,36.817366441,127.61095714
삼호중앙초등학교,34.74665969,126.4693494
덕진초등학교,34.821485172,126.69878276
금정초등학교,34.861284481,126.753418
신북초등학교,34.891157375,126.69634949
화산초등학교,,
시종중학교,34.8648529,126.60803712
도포중학교,34.8500053,126.6434823
구림초등학교,34.763738472,126.6322437
장천초등학교,34.756033138,126.5830254
독천초등학교,34.728316418,126.56445949
미암초등학교,34.700039176,126.57317781
영암여고,34.803960392,126.70407899
창녕문화공원,,
명덕초등학교 운동장,35.54361005,128.4962072
만옥정공원,,
창녕공설운동장,35.52088141,128.5049214
남지초등학교 운동장,35.38982227,128.4719574
동포초등학교 운동장,35.39095578,128.4789116
고암초등학교 운동장,35.5776326,128.5114804
성산초등학교 운동장,35.62384931,128.4780761
대합초등학교 운동장,35.61519094,128.4692113
이방초등학교 운동장,35.57775822,128.3864984
동탄중앙초등학교,,
아인초등학교,,
영천초등학교,,
한백초등학교,,
동탄초등학교,,
해운초등학교,,
월문초등학교,,
갈담초등학교,,
수봉근린공원,37.4598209,126.66329586
숭의초등학교 운동장,37.463720073,126.65570511
용정초등학교운동장,37.459435723,126.65723481
배양초등학교,,
인천남중학교 운동장,37.463790778,126.65400023
용정근린공원,37.45102699,126.6416793
용일초등학교운동장,37.452450691,126.66336059
용학초등학교 운동장,37.446762948,126.64350103
용현여자중학교 운동장,37.448405032,126.64067248
용현중학교 운동장,37.447853799,126.63954953
용현초등학교운동장,37.453180791,126.64080786
인하대학교대운동장,37.451446955,126.65154362
인항고등학교,37.446815908,126.640705
정석항공과학고등학교운동장,37.451446955,126.65154362
연학초등학교 운동장,37.443565564,126.67191639
정림초등학교,,
왕배초등학교,,
방교초등학교,,
동양초등학교,,
활초초등학교,,
능동초등학교,,
병점초등학교,,
진안초등학교,,
한마음초등학교,,
구봉초등학교,,
태안초등학교,,
안화초등학교,,
기산초등학교,,
동학초등학교(체육관),,
반월초등학교,,
율목초등학교,,
기안초등학교,,
숲속초등학교,,
반석초등학교,,
반송초등학교,,
솔빛초등학교,,
효행초등학교,,
석천초등학교,,
화수초등학교,,
도이초등학교,,
발안초등학교,,
화원초등학교,,
상신초등학교,,
하길초등학교,,
남양초등학교,,
대양초등학교,,
매송초등학교,,
송라초등학교,,
비봉초등학교,,
청룡초등학교,,
마도초등학교(체육관),,
청원초등학교,,
마산초등학교,,
송산초등학교,,
서신초등학교,,
노진초등학교,,
장명초등학교,,
장안초등학교,,
갈천초등학교,,
행정초등학교,,
향남초등학교,,
양감초등학교,,
삼포마을뒷산 고지대,38.315042,128.529296
고정초등학교,,
금곡초등학교,,
무봉초등학교,,
사창초등학교,,
예당초등학교,,
예솔초등학교,,
예원초등학교,,
우정초등학교,,
정남초등학교,,
제암초등학교,,
청계초등학교,,
청목초등학교,,
팔탄초등학교,,
푸른초등학교,,
학동초등학교,,
한울초등학교,,
화성벌말초등학교,,
동화초등학교,,
봉담초등학교,,
상봉초등학교,,
수기초등학교,,
수영초등학교,,
와우초등학교,,
영천중학교운동장,35.108203402,128.23649982
개천초등학교운동장,35.09839358,128.25962274
구만초등학교운동장,35.088514014,128.33554285
회화초등학교운동장,35.062184559,128.37372049
회화중학교운동장,35.056700639,128.36161556
고성고등학교운동장,35.055684061,128.362572
마암초등학교운동장,35.05652775,128.33599067
동해초등학교운동장,35.046086418,128.44427447
동해중학교운동장,35.046416553,128.4474278
거류체육공원,34.983272163,128.40637525
거류초등학교운동장,34.993951367,128.40444632
동광초등학교운동장,35.008777445,128.40055898
방산초등학교운동장,34.971625061,128.36424415
고성동중학교운동장,34.987714795,128.40129525
고성유치원,34.98374482,128.35950406
고성오광대 전수관,34.973636395,128.33410434
경남항공고등학교,34.978534465,128.30739021
죽리초등학교 운동장,36.753974058,127.61200393
증평여자중학교 운동장,36.77853574,127.57714615
삼보초등학교 운동장,36.778720288,127.5792397
보강천 체육공원 운동장,36.787015,127.576039
증평초등학교 운동장,36.78305138,127.58686351
증평중학교 운동장,36.78190191,127.5889832
증평공업고등학교 운동장,36.780950906,127.59032467
장산초등학교,35.8211437,128.72370998
대성초등학교운동장,34.975775049,128.32316267
철성초등학교운동장,34.957813168,128.34227753
율천초등학교운동장,34.99230781,128.32818201
고성중학교운동장,34.979498922,128.30520666
고성여자중학교운동장,34.979900425,128.32637406
철성중학교운동장,34.984193748,128.31980249
경남항공고등학교운동장,34.978534465,128.30739021
철성고등학교운동장,34.984067239,128.32016404
중앙고등학교운동장,34.966435767,128.32001249
삼산초등학교운동장,34.937412036,128.27356063
고성중학교 운동장(삼산분교),34.938710709,128.27451762
소가야중학교 운동장,34.954627522,128.24992662
하일초등학교운동장,34.946040257,128.18993325
하일초등학교 장춘분교,34.912657105,128.17900395
하일중학교운동장,34.944226251,128.19329594
하이초등학교운동장,34.929560777,128.12168373
하이체육공원,34.930424597,128.12106071
상리초등학교운동장,34.999554233,128.18580038
상리중학교운동장,35.000133562,128.18775847
대흥초등학교운동장,35.016028251,128.29735117
대가면 다목적복지회관,35.018661012,128.29726128
영현초등학교운동장,35.054213732,128.20443417
영천중학교운동장(영현분교),35.053115673,128.20500553
영오초등학교운동장,35.106030246,128.21611107
점촌초등학교 운동장,36.59193846,128.19497182
영강체육공원,36.60308755,128.21237261
문경중학교 운동장,36.60597479,128.20596234
문창고등학교 운동장,36.60269874,128.1991477
호서남초등학교 운동장,36.60493865,128.20363497
문경관광사격장 공터,36.642754,128.129476
문경시민운동장,36.593241,128.187438
실내정구장,36.59548211,128.18625644
모전초등학교 운동장,36.59189446,128.18094511
문경여자중학교 운동장,36.59567301,128.1898845
점촌고등학교 운동장,36.59618876,128.18297288
점촌중학교 운동장,36.59984025,128.18982333
고성읍사무소,34.978075078,128.3191962
대성초등학교,34.975775049,128.32316267
국민체육센터,34.979313312,128.3107228
소가야 중학교,34.963445276,128.25139625
하이초등학교,34.929560777,128.12168373
대흥초등학교,35.016028251,128.29735117
대가면다목적복지회관,35.018661012,128.29726128
회화중학교,35.056700639,128.36161556
동해초등학교,35.046086418,128.44427447
종합운동장,34.979313312,128.3107228
