무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석문경로당,36.838586,128.040158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수경로당,35.6838983,126.8157256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신안경로당,35.6004278,128.4601767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율곡경로당,35.596682,128.4793087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영평1구 경로당,36.984053,127.81355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영평2구 경로당,36.988852,127.810764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대소3구 경로당,36.975344,127.816862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마치 경로당,36.975611,127.808898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼익세라믹아파트 경로당,36.2975684,127.4620105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상남경로당,35.3862239,128.4751534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신남경로당,35.3874756,128.4767543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산리경로당,35.3960757,128.4698974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍포노인정,35.393907,128.47384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신전경로당,35.4100457,128.4488489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산경로당,35.3922471,128.4453264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥산경로당,35.3921452,128.4550488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명지노모당(안),35.3920084,128.45776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명지노인정,35.388278,128.4608201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍정노모당,35.3922691,128.4672316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍정경로당,35.3922848,128.4672252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕신경로당,35.7222314,126.7832402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신평경로당,35.6863229,126.76818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용적경로당,35.6955623,126.7759224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공작경로당,35.6748166,126.7402162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상기경로당,35.6712731,126.7612914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중기경로당,35.6758943,126.7633392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학계경로당,35.3958003,128.4582896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍포노모당,35.3939079,128.473824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고암면사무소,35.5763807,128.5110226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산내동행정복지센터,36.2766,127.4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낭월동제1경로당,36.2808,127.4683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오투그란데아파트 경로당,36.2862,127.4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대별여자경로당,36.2865,127.4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공주말 경로당,36.2526,127.4765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이사동제1경로당,36.2798,127.4442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대성동 경로당,36.296699,127.4612033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산내주공아파트 경로당,36.2846776,127.4681912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상소제2(여)경로당,36.2294935,127.4461438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소호동제1경로당,36.2679092,127.4542838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소야경로당,35.5590377,128.4484469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월령경로당,35.5653927,128.4615033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주매경로당,35.5677496,128.4215772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신당경로당,35.575784,128.4374113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낭월석천들아파트 경로당,36.2773849,127.4678537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목포경로당,35.6928343,126.6866175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야문경로당,34.8831022,126.9939745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초방2구경로당,34.851143,126.9990465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매정1구경로당,34.865909,127.0264064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연화경로당,34.8536649,127.0219485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구례경로당,34.8602471,127.0420589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍봉남자경로당,34.8711731,127.0391771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남문1리 경로당,36.7553032,126.2954828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남문2리 경로당,36.7580407,126.2934288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남산1리 경로당,36.7344457,126.2914063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소룡골경로당,36.2434105,127.460609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소호동제2경로당,36.264874,127.4394702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하소동제2경로당,36.2116447,127.4390746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하소동제3경로당,36.2237316,127.442647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동구아름다운복지관,36.2685,127.4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신당노모당,35.5735648,128.4367098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지석경로당,35.6912408,126.6759365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분장경로당,35.7038981,126.6687736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장동경로당,35.7109099,126.6818143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장서경로당,35.7092662,126.6795921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도화경로당,35.7051934,126.6612096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상하경로당,35.7145849,126.6622156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성암경로당,35.71034,126.665405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장척동 경로당,36.2547282,127.4364821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은어송마을2단지 아파트 경로당,36.3037581,127.4582612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대전e편한세상아파트경로당,36.2828184,127.4696318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이사동제2경로당,36.2877126,127.4492424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낭월동제2경로당,36.2848292,127.4660924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼괴동제2경로당,36.2570993,127.4798065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어은2리 경로당,36.7990465,126.3109505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
